ID_Rota,Porto_Origem,Porto_Destino,Distancia,Tempo_Medio
1,Xangai,Singapura,2054.9361229518113,5.708155897088364
2,Xangai,Ningbo-Zhoushan,86.63526346398606,0.2406535096221835
3,Xangai,Shenzhen,655.1162996689571,1.8197674990804364
4,Xangai,Busan,445.0503677176611,1.2362510214379474
5,Xangai,Hong Kong,662.5436613758586,1.8403990593773851
6,Xangai,Qingdao,654.368818750364,1.8176911631954555
7,Xangai,Guangzhou,295.4668878004042,0.8207413550011228
8,Xangai,Tianjin,515.9153176303932,1.4330981045288702
9,Xangai,Roterdã,4820.253666341519,13.389593517615332
10,Singapura,Xangai,2054.9361229518113,5.708155897088364
11,Singapura,Ningbo-Zhoushan,2002.6575622250932,5.5629376728474815
12,Singapura,Shenzhen,1405.6027518279664,3.9044520884110177
13,Singapura,Busan,2467.6371749660125,6.854547708238923
14,Singapura,Hong Kong,1396.4010382647352,3.878891772957598
15,Singapura,Qingdao,1418.588388543219,3.9405233015089416
16,Singapura,Guangzhou,2278.9985674072423,6.330551576131229
17,Singapura,Tianjin,2381.373893763642,6.614927482676784
18,Singapura,Roterdã,5684.3385639452645,15.789829344292402
19,Ningbo-Zhoushan,Xangai,86.63526346398606,0.2406535096221835
20,Ningbo-Zhoushan,Singapura,2002.6575622250932,5.5629376728474815
21,Ningbo-Zhoushan,Shenzhen,614.1780900333727,1.7060502500927017
22,Ningbo-Zhoushan,Busan,473.6039719846908,1.3155665888463635
23,Ningbo-Zhoushan,Hong Kong,620.0228453117105,1.722285681421418
24,Ningbo-Zhoushan,Qingdao,620.3736404429276,1.7232601123414655
25,Ningbo-Zhoushan,Guangzhou,381.2618821877931,1.0590607838549808
26,Ningbo-Zhoushan,Tianjin,602.4229105639168,1.673396973788658
27,Ningbo-Zhoushan,Roterdã,4904.151571891102,13.622643255253061
28,Shenzhen,Xangai,655.1162996689571,1.8197674990804364
29,Shenzhen,Singapura,1405.6027518279664,3.9044520884110177
30,Shenzhen,Ningbo-Zhoushan,614.1780900333727,1.7060502500927017
31,Shenzhen,Busan,1087.772304485622,3.0215897346822835
32,Shenzhen,Hong Kong,14.793436916429627,0.04109288032341563
33,Shenzhen,Qingdao,56.265133183746535,0.15629203662151817
34,Shenzhen,Guangzhou,876.3322742287266,2.4342563173020184
35,Shenzhen,Tianjin,1006.083542459897,2.7946765068330475
36,Shenzhen,Roterdã,5021.3062072111725,13.948072797808813
37,Busan,Xangai,445.0503677176611,1.2362510214379474
38,Busan,Singapura,2467.6371749660125,6.854547708238923
39,Busan,Ningbo-Zhoushan,473.6039719846908,1.3155665888463635
40,Busan,Shenzhen,1087.772304485622,3.0215897346822835
41,Busan,Hong Kong,1093.4996538130692,3.0374990383696368
42,Busan,Qingdao,1093.0537140453173,3.036260316792548
43,Busan,Guangzhou,426.05687670318883,1.1834913241755245
44,Busan,Tianjin,614.2915055286269,1.7063652931350746
45,Busan,Roterdã,4828.172987362134,13.411591631561485
46,Hong Kong,Xangai,662.5436613758586,1.8403990593773851
47,Hong Kong,Singapura,1396.4010382647352,3.878891772957598
48,Hong Kong,Ningbo-Zhoushan,620.0228453117105,1.722285681421418
